chromosome,start,stop,accession
West_African_lungfish_17_aa,50218079,53125014,GCA_019279795.1
West_African_lungfish_17_aa,67140251,69562905,GCA_019279795.1
West_African_lungfish_2_aa,377131753,379365928,GCA_019279795.1
West_African_lungfish_9_ab,436828852,438972249,GCA_019279795.1
West_African_lungfish_17_aa,46187119,48188036,GCA_019279795.1
West_African_lungfish_17_aa,62728438,64729532,GCA_019279795.1
West_African_lungfish_20_ab,20349489,22350496,GCA_019279795.1
LR792554.1,32349642,34350661,GCA_902827115.2
CM053593.1,383577030,385614738,GCA_028646575.1
CM053597.1,79216656,81964773,GCA_028646575.1
JAQQSW010018503.1,0,1008170,GCA_028646575.1
CM053594.1,253929131,255930063,GCA_028646575.1
CM053594.1,255937357,257938286,GCA_028646575.1
CM053596.1,0,1661592,GCA_028646575.1
CM053597.1,3169774,5170685,GCA_028646575.1
CM053600.1,85179325,87180278,GCA_028646575.1
JAQQSW010000441.1,0,1029610,GCA_028646575.1
JAQQSW010000546.1,0,1015571,GCA_028646575.1
JAQQSW010001381.1,0,1007373,GCA_028646575.1
JAQQSW010001901.1,0,1003670,GCA_028646575.1
JAQQSW010004050.1,0,1009108,GCA_028646575.1
JAQQSW010004879.1,0,1006531,GCA_028646575.1
JAQQSW010008178.1,0,1003469,GCA_028646575.1
JAQQSW010009793.1,0,1008951,GCA_028646575.1
JAQQSW010010093.1,0,1010368,GCA_028646575.1
JAQQSW010017026.1,0,1009127,GCA_028646575.1
JAQQSW010031970.1,0,1006559,GCA_028646575.1
JAQQSW010039175.1,0,1003803,GCA_028646575.1
JAQQSW010050310.1,0,1003055,GCA_028646575.1
JAQQSW010050606.1,0,1003587,GCA_028646575.1
JAQQSW010050730.1,0,1005360,GCA_028646575.1
JAQQSW010064539.1,0,1001094,GCA_028646575.1
JAQQSW010091773.1,0,1002228,GCA_028646575.1
JAQQSW010105116.1,0,1001447,GCA_028646575.1
JAQQSW010112842.1,0,1001189,GCA_028646575.1
CM053585.1,471610387,475298413,GCA_028646515.1
CM053586.1,5365134,7794707,GCA_028646515.1
CM053585.1,547914339,549915268,GCA_028646515.1
CM053587.1,31894390,33895322,GCA_028646515.1
JAQQSV010000934.1,0,1034317,GCA_028646515.1
JAQQSV010001869.1,0,1011680,GCA_028646515.1
JAQQSV010009869.1,0,1001958,GCA_028646515.1
JAQQSV010020331.1,0,1004766,GCA_028646515.1
JAQQSV010020507.1,0,1006495,GCA_028646515.1
JAQQSV010025224.1,0,1005018,GCA_028646515.1
JAQQSV010025809.1,0,1006262,GCA_028646515.1
JAQQSV010029491.1,0,1004809,GCA_028646515.1
JAQQSV010048883.1,0,1005361,GCA_028646515.1
JAQQSV010051978.1,0,1003038,GCA_028646515.1
JAQQSV010057328.1,0,1003327,GCA_028646515.1
JAQQSV010057492.1,0,1000941,GCA_028646515.1
JAQQSV010080963.1,0,1001661,GCA_028646515.1
JAQQSV010090314.1,0,1001799,GCA_028646515.1
CM053581.1,500740611,504503937,GCA_028627135.1
CM053584.1,388676697,390817233,GCA_028627135.1
CM053580.1,251097483,253098415,GCA_028627135.1
CM053581.1,582638151,584639080,GCA_028627135.1
CM053582.1,61982021,63982959,GCA_028627135.1
JAQQSU010000057.1,0,1030362,GCA_028627135.1
JAQQSU010001105.1,0,1006139,GCA_028627135.1
JAQQSU010002949.1,0,1001977,GCA_028627135.1
JAQQSU010007049.1,0,1008937,GCA_028627135.1
JAQQSU010011402.1,0,1004667,GCA_028627135.1
JAQQSU010012758.1,0,1003909,GCA_028627135.1
JAQQSU010020864.1,0,1008194,GCA_028627135.1
JAQQSU010021466.1,0,1005387,GCA_028627135.1
JAQQSU010028734.1,0,1006897,GCA_028627135.1
JAQQSU010038003.1,0,1002825,GCA_028627135.1
JAQQSU010038403.1,0,1005780,GCA_028627135.1
JAQQSU010040437.1,0,1006246,GCA_028627135.1
JAQQSU010040544.1,0,1004475,GCA_028627135.1
JAQQSU010041212.1,0,1003182,GCA_028627135.1
JAQQSU010048736.1,0,1003553,GCA_028627135.1
JAQQSU010060782.1,0,1001459,GCA_028627135.1
CM055213.1,12538185,14542751,GCA_029220125.1
CM055218.1,7155055,9156032,GCA_029220125.1
JAQOLT010002707.1,0,1205261,GCA_028390025.1
JAQOLT010002823.1,0,1188394,GCA_028390025.1
corroboree_frog_12_aa,148561362,151348752,GCA_028390025.1
corroboree_frog_1_aa,432136755,434456632,GCA_028390025.1
corroboree_frog_3_ab,138943792,141411184,GCA_028390025.1
corroboree_frog_3_ab,250129459,252253533,GCA_028390025.1
corroboree_frog_4_aa,44999808,49115584,GCA_028390025.1
corroboree_frog_7_aa,474380836,485036252,GCA_028390025.1
JAQOLT010001538.1,0,1051283,GCA_028390025.1
JAQOLT010002317.1,0,1023053,GCA_028390025.1
corroboree_frog_1_ab,144746027,146746929,GCA_028390025.1
corroboree_frog_3_ab,140628792,142629805,GCA_028390025.1
CM045354.1,27436065,29436982,GCA_024679245.1
CM045362.1,23169526,25170491,GCA_024679245.1
CM045362.1,39786771,41787745,GCA_024679245.1
CM020152.1,5081981,7082931,GCA_009769525.1
CM053224.1,22465711,24549382,GCA_028533765.1
CM053235.1,73667655,76343113,GCA_028533765.1
CM053230.1,3771862,5772761,GCA_028533765.1
CM053235.1,60985503,62986567,GCA_028533765.1
JAPYYI010001685.1,0,1007289,GCA_028533765.1
JAPYYI010002455.1,0,1006324,GCA_028533765.1
CM049804.1,16420656,18421579,GCA_027422405.1
CM049804.1,22421020,24421967,GCA_027422405.1
CM049810.1,10261031,12261996,GCA_027422405.1
CM049810.1,21826843,23827838,GCA_027422405.1
OX438550.1,8423638,10431162,GCA_949316345.1
OX438545.1,16438219,18439190,GCA_949316345.1
CM032075.1,13636816,15637781,GCA_018831695.1
CM032075.1,2575555,4576550,GCA_018831695.1
CM032076.1,12513632,14514555,GCA_018831695.1
CM054859.1,81154174,83301064,GCA_028975605.1
CM054854.1,6369076,8369972,GCA_028975605.1
CM054865.1,11379842,13380792,GCA_028975605.1
CM026726.1,166414,2388338,GCA_015220715.1
CM026726.1,16149306,18226207,GCA_015220715.1
CM026726.1,38354591,40371567,GCA_015220715.1
CM026726.1,0,1923412,GCA_015220715.1
CM026737.1,39179747,41180748,GCA_015220715.1
CM026748.1,18128293,20129267,GCA_015220715.1
CM016419.1,75222,2373688,GCA_004786255.1
CM016419.1,3590084,6891944,GCA_004786255.1
CM016421.1,36192424,38240241,GCA_004786255.1
CM016422.1,95302,4146469,GCA_004786255.1
CM016425.1,8147610,10151526,GCA_004786255.1
CM016425.1,25762845,27938909,GCA_004786255.1
CM016419.1,0,1975936,GCA_004786255.1
CM016421.1,112757888,114758778,GCA_004786255.1
CM033440.1,35352658,37561372,GCA_019425775.1
CM033440.1,131545728,134020498,GCA_019425775.1
CM033437.1,211300196,213301128,GCA_019425775.1
CM033437.1,22687376,24688296,GCA_019425775.1
CM033440.1,13300520,15301476,GCA_019425775.1
CM056049.1,264937644,267154135,GCA_029574335.1
CM056052.1,26013118,29377494,GCA_029574335.1
CM056052.1,45578158,47802412,GCA_029574335.1
CM056054.1,0,2584093,GCA_029574335.1
CM056054.1,1629949,3774205,GCA_029574335.1
CM056054.1,3353755,5698785,GCA_029574335.1
CM056056.1,71032582,73629050,GCA_029574335.1
JAJQKJ010001345.1,0,1206054,GCA_029574335.1
JAJQKJ010001356.1,0,1044859,GCA_029574335.1
JAJQKJ010001811.1,0,1057754,GCA_029574335.1
CM056049.1,727705692,729706597,GCA_029574335.1
CM056053.1,115566649,117567614,GCA_029574335.1
CM056055.1,100077579,102078469,GCA_029574335.1
JAJQKJ010001759.1,0,1092091,GCA_029574335.1
JAJQKJ010001807.1,0,1025985,GCA_029574335.1
JAJQKJ010002040.1,0,1014482,GCA_029574335.1
JARGYO010000094.1,60253048,64244086,GCA_029206835.1
JARGYO010000098.1,0,2150800,GCA_029206835.1
mountain_yellow-legged_frog_11_aa,77556017,80556100,GCA_029206835.1
mountain_yellow-legged_frog_12_aa,181913288,184545194,GCA_029206835.1
mountain_yellow-legged_frog_12_aa,187625233,190000440,GCA_029206835.1
mountain_yellow-legged_frog_12_aa,189541037,194032142,GCA_029206835.1
mountain_yellow-legged_frog_1_ab,298799452,301504068,GCA_029206835.1
mountain_yellow-legged_frog_6_aa,322793231,324934732,GCA_029206835.1
mountain_yellow-legged_frog_8_aa,181824092,185020839,GCA_029206835.1
mountain_yellow-legged_frog_8_aa,319476443,321539436,GCA_029206835.1
mountain_yellow-legged_frog_7_aa,149713184,151714149,GCA_029206835.1
mountain_yellow-legged_frog_7_ab,443484078,445485067,GCA_029206835.1
LR991680.1,248622340,250819892,GCA_905171775.1
LR991683.1,26513067,29989346,GCA_905171775.1
LR991683.1,40974566,43190140,GCA_905171775.1
LR991685.1,419850,4636711,GCA_905171775.1
LR991685.1,3967789,6145140,GCA_905171775.1
LR991687.1,959073,2980960,GCA_905171775.1
LR991687.1,67455253,70022977,GCA_905171775.1
LR991684.1,107546105,109547070,GCA_905171775.1
LR991685.1,40691566,42692474,GCA_905171775.1
CM056401.1,87064976,89241477,GCA_019903745.2
CM056401.1,88258247,90544662,GCA_019903745.2
JAHWTM020000155.1,0,1315238,GCA_019903745.2
CM056401.1,71001094,73002083,GCA_019903745.2
CM056401.1,7770927,9771835,GCA_019903745.2
CM056415.1,58760518,60761417,GCA_019903745.2
JAHWTM020011556.1,0,1001389,GCA_019903745.2
CM026977.1,68284391,70429339,GCA_015227675.2
CM026977.1,69985280,72334747,GCA_015227675.2
CM026977.1,164272827,167324780,GCA_015227675.2
CM026975.1,82237595,84238602,GCA_015227675.2
CM026976.1,35077652,37078641,GCA_015227675.2
CM026977.1,40569536,42570447,GCA_015227675.2
CM026977.1,51449208,53450107,GCA_015227675.2
CM021553.1,14726754,17728944,GCA_011064425.1
CM021553.1,96773965,99058391,GCA_011064425.1
CM021553.1,98315382,100319502,GCA_011064425.1
CM021550.1,147650300,149651307,GCA_011064425.1
CM021552.1,28427434,30428429,GCA_011064425.1
CM021553.1,114344114,116345013,GCA_011064425.1
CM021553.1,124730386,126731297,GCA_011064425.1
CM021553.1,40433453,42434391,GCA_011064425.1
CM031678.1,4606785,6607762,GCA_006182925.3
CM031682.1,8172345,10173301,GCA_006182925.3
CM051761.1,209704315,211705250,GCA_028389875.1
CM051763.1,122214431,124215384,GCA_028389875.1
CM031047.1,110141286,112206600,GCA_013398505.2
CM031046.1,84011884,86012849,GCA_013398505.2
CM031046.1,88187240,90188175,GCA_013398505.2
CAAJIB020000526.1,0,1032917,GCA_901001135.2
LR584387.1,495481113,497820549,GCA_901001135.2
LR584402.1,8646915,10761688,GCA_901001135.2
LR584388.1,346605380,348606291,GCA_901001135.2
LR584392.1,249834798,251835712,GCA_901001135.2
CM057605.1,150594529,152771756,GCA_030035675.1
CM057607.1,126171931,128203963,GCA_030035675.1
CM057609.1,176132040,178140036,GCA_030035675.1
CM057605.1,144361366,146362346,GCA_030035675.1
CM053529.1,10159166,12705041,GCA_028646465.1
CM053557.1,10544882,12829424,GCA_028646465.1
CM053557.1,12120019,14265851,GCA_028646465.1
CM053557.1,27532389,29533294,GCA_028646465.1
JAQQSS010002859.1,0,1003906,GCA_028646465.1
JAQQSS010009688.1,0,1002368,GCA_028646465.1
CM033629.1,16999657,19000643,GCA_019453435.1
CM014235.1,25378227,27485827,GCA_004115265.3
CM014251.1,6562418,9403291,GCA_004115265.3
CM014232.1,5033629,7034528,GCA_004115265.3
CM014245.1,24672951,26673856,GCA_004115265.3
CM014251.1,20336915,22338018,GCA_004115265.3
CM017356.1,48414890,50688676,GCA_007565055.1
CM017356.1,50134540,52307042,GCA_007565055.1
CM017360.1,10987791,13200801,GCA_007565055.1
CM017360.1,121172097,123396558,GCA_007565055.1
CM017353.1,90239296,92240195,GCA_007565055.1
CM017356.1,137204348,139205262,GCA_007565055.1
CM017356.1,69536464,71537339,GCA_007565055.1
CM050649.1,128290873,130291820,GCA_027574665.1
CM050650.1,118208351,120209304,GCA_027574665.1
CM052985.1,133001637,135002572,GCA_028500815.1
CM052985.1,3188602,5189549,GCA_028500815.1
CM052987.1,119520893,121521849,GCA_028500815.1
CM042243.1,28325730,30326647,GCA_023566225.1
CM042253.1,30914486,32915523,GCA_023566225.1
CM042253.1,50833235,52834215,GCA_023566225.1
CM052783.1,66999610,69567874,GCA_028533395.1
CM052795.1,20541597,22609151,GCA_028533395.1
CM052782.1,928459,2929358,GCA_028533395.1
CM052783.1,56062888,58063787,GCA_028533395.1
JAPYYH010013326.1,0,1002127,GCA_028533395.1
CM038400.1,97374963,99520292,GCA_021498475.1
CM038400.1,98784642,101080065,GCA_021498475.1
CM038401.1,12432235,14689998,GCA_021498475.1
CM038392.1,176615324,178616223,GCA_021498475.1
CM038400.1,27060026,29060934,GCA_021498475.1
CM038400.1,77994001,79994879,GCA_021498475.1
CM038401.1,139461279,141462190,GCA_021498475.1
LR597447.1,4831746,6832723,GCA_902148845.1
LR597451.1,19313502,21314539,GCA_902148845.1
HG993262.1,85191065,87249645,GCA_905237065.2
HG993265.1,14619035,16641967,GCA_905237065.2
HG993284.1,25198744,27305457,GCA_905237065.2
HG993280.1,45991184,47992131,GCA_905237065.2
HG993283.1,20043567,22044544,GCA_905237065.2
HG993283.1,24129423,26130388,GCA_905237065.2
HG993286.1,8649700,10650629,GCA_905237065.2
LR584408.1,35679913,37713536,GCA_901001165.2
LR584410.1,71365191,73388113,GCA_901001165.2
LR584412.1,25006574,27098952,GCA_901001165.2
LR584429.1,8281126,10949377,GCA_901001165.2
LR584424.1,19537144,21538121,GCA_901001165.2
LR584424.1,23578776,25579741,GCA_901001165.2
LR584434.1,8729377,10730306,GCA_901001165.2
LR584442.1,32623310,34624251,GCA_901001165.2
CM055701.1,34789915,37552418,GCA_029448725.1
CM055705.1,22440436,24487405,GCA_029448725.1
CM055716.1,33049590,35061133,GCA_029448725.1
CM055686.1,22580411,24581376,GCA_029448725.1
CM055686.1,30525180,32526157,GCA_029448725.1
CM055704.1,7965843,9966850,GCA_029448725.1
CM055714.1,37054013,39054957,GCA_029448725.1
CM028254.1,23723458,25823831,GCA_016432855.1
CM028260.1,9676839,12371299,GCA_016432855.1
CM028272.1,85756576,87769265,GCA_016432855.1
CM028250.1,19195458,21196423,GCA_016432855.1
CM028250.1,23396342,25397319,GCA_016432855.1
CM028269.1,30200450,32201394,GCA_016432855.1
CM028275.1,6011935,8012879,GCA_016432855.1
CM024491.1,41752632,43753612,GCA_008315115.2
CM024497.1,12975205,14976224,GCA_008315115.2
LR735557.1,457460035,459567149,GCA_902635505.1
LR735558.1,189602883,191763140,GCA_902635505.1
LR735558.1,191089313,193421610,GCA_902635505.1
LR735554.1,396315443,398316378,GCA_902635505.1
LR735556.1,150777255,152778193,GCA_902635505.1
LR735558.1,282382091,284383272,GCA_902635505.1
CM044574.1,20437196,22438134,GCA_024453875.1
CM044583.1,21734329,23735372,GCA_024453875.1
CM044583.1,35456280,37457257,GCA_024453875.1
CM035577.1,14425441,16427916,GCA_020382885.1
CM035570.1,295271,2296248,GCA_020382885.1
CM028773.1,189092537,191093478,GCA_016801065.1
CM028773.1,56598805,58674062,GCA_016801065.1
CM028773.1,189120812,191253319,GCA_016801065.1
CM028773.1,197024549,199078044,GCA_016801065.1
CM028774.1,8505556,10506491,GCA_016801065.1
CM028778.1,22156916,24158010,GCA_016801065.1
CM032820.1,222419661,224420608,GCA_019175285.1
CM032820.1,75021212,77117788,GCA_019175285.1
CM032820.1,222432835,224614600,GCA_019175285.1
CM032821.1,9259890,11260825,GCA_019175285.1
CM032823.1,186067455,188068441,GCA_019175285.1
CM032825.1,22601610,24602704,GCA_019175285.1
JAGXEY010000182.1,0,1005174,GCA_019175285.1
JAGXEY010004659.1,0,1001794,GCA_019175285.1
JAGXEY010020512.1,0,1001199,GCA_019175285.1
CM049874.1,14943598,16944521,GCA_027474115.1
CM049874.1,8138537,10139586,GCA_027474115.1
CM049881.1,13833822,15834787,GCA_027474115.1
CM049881.1,26513042,28514025,GCA_027474115.1
CM049827.1,14968544,16969467,GCA_027422435.1
CM049827.1,8116392,10117441,GCA_027422435.1
CM049828.1,18098713,20099678,GCA_027422435.1
CM049828.1,3817219,5818202,GCA_027422435.1
CM049848.1,20288838,22289761,GCA_027422415.1
CM049848.1,27002728,29003675,GCA_027422415.1
CM049851.1,16559524,18560486,GCA_027422415.1
CM049851.1,4529426,6530409,GCA_027422415.1
CM024394.1,15945041,17949182,GCA_014183145.1
CM024393.1,25961412,27962386,GCA_014183145.1
CM024401.1,15627608,17628579,GCA_014183145.1
LR738593.1,76742072,79603381,GCA_902686445.2
LR738597.1,11237780,13459744,GCA_902686445.2
LR738597.1,12756930,14923784,GCA_902686445.2
LR738595.1,6888980,8889876,GCA_902686445.2
LR738597.1,29313345,31314250,GCA_902686445.2
LR738597.1,38945418,40946326,GCA_902686445.2
LR738615.1,77948495,80899304,GCA_902686455.2
LR738618.1,11470037,13667752,GCA_902686455.2
LR738618.1,12910919,15068196,GCA_902686455.2
LR738616.1,164214132,166215028,GCA_902686455.2
LR738618.1,29604364,31605269,GCA_902686455.2
LR738618.1,39681214,41682122,GCA_902686455.2
LR584077.1,26619487,28705739,GCA_900964775.1
LR584082.1,22423743,24424705,GCA_900964775.1
LR584082.1,25428452,27429426,GCA_900964775.1
CM050011.1,29006410,31007399,GCA_027409825.1
CM050011.1,5493082,7494044,GCA_027409825.1
CM050013.1,12714635,14715747,GCA_027409825.1
CM039417.1,12554337,14555356,GCA_022379125.1
CM039422.1,18869707,20870684,GCA_022379125.1
CM041550.1,8424516,10429364,GCA_023238725.1
CM041535.1,5656113,7657093,GCA_023238725.1
CM025837.1,18531489,20535174,GCA_014673565.1
CM025830.1,11275106,13276077,GCA_014673565.1
CM026764.1,10588495,12593620,GCA_015220745.1
CM026759.1,23414657,25415628,GCA_015220745.1
CM045640.1,26531016,28534947,GCA_022539315.2
CM045643.1,106330109,108336068,GCA_022539315.2
CM045643.1,108396469,110418664,GCA_022539315.2
CM037564.1,6683680,8684657,GCA_021018895.1
CM037570.1,16626172,18627194,GCA_021018895.1
CM027507.1,29561999,31562916,GCA_001746935.2
CM025887.1,21356538,23375233,GCA_014805685.1
CM025887.1,28432284,30433213,GCA_014805685.1
CM025901.1,10078076,12079050,GCA_014805685.1
CM025902.1,22077984,24078910,GCA_014805685.1
CM034674.1,10274221,12275198,GCA_020085105.1
CM022425.1,20966441,22967418,GCA_011952075.1
CM050846.1,10163917,12164894,GCA_027580175.1
CM035803.1,41733838,43740752,GCA_020466265.1
CM035791.1,26619660,28620637,GCA_020466265.1
CM032858.1,23724695,25725672,GCA_019176455.1
CM050716.1,438190616,440346101,GCA_027595985.1
CM050716.1,439874387,442173988,GCA_027595985.1
CM050725.1,51233416,53602751,GCA_027595985.1
CM050716.1,100976960,102977892,GCA_027595985.1
CM050716.1,377434925,379435824,GCA_027595985.1
LR537129.1,22354006,24359464,GCA_900880675.2
LR537125.1,16735544,18736506,GCA_900880675.2
CM049770.1,109107707,111143499,GCA_027358695.2
CM049772.1,117909553,120025216,GCA_027358695.2
CM049776.1,45816763,47922844,GCA_027358695.2
CM049778.1,19071057,21155182,GCA_027358695.2
CM049780.1,20046836,22179757,GCA_027358695.2
CM049780.1,32700181,34701089,GCA_027358695.2
LR597478.1,14819565,16834262,GCA_902148855.1
LR597466.1,33618988,35619965,GCA_902148855.1
CM040799.1,18492020,20492958,GCA_022829025.1
CM040804.1,20345133,22346161,GCA_022829025.1
CM040804.1,32864381,34865358,GCA_022829025.1
CM020439.1,6161522,8166854,GCA_009819605.1
CM020437.1,213352788,215353735,GCA_009819605.1
CM021697.1,77371109,79372050,GCA_011074415.1
CM021699.1,110227459,112228490,GCA_011074415.1
LR594553.2,118855227,120856180,GCA_901699155.2
CM013767.2,56151595,58152545,GCA_004027225.2
CM041880.1,3424226,5452145,GCA_023376015.1
CM041877.1,27726165,29727100,GCA_023376015.1
CM041877.1,31614603,33615565,GCA_023376015.1
CM043972.1,149727460,151728449,GCA_024139225.1
CM043972.1,149737120,153178619,GCA_024139225.1
CM043982.1,35488951,37737969,GCA_024139225.1
CM043972.1,95270036,97270935,GCA_024139225.1
CM043973.1,89202754,91203686,GCA_024139225.1
CM016972.1,10187811,12221078,GCA_006229205.1
CM016972.1,11237587,13404655,GCA_006229205.1
CM016980.1,93167250,95303938,GCA_006229205.1
CM016972.1,86891120,88892034,GCA_006229205.1
CM016976.1,139885151,141886044,GCA_006229205.1
CM000816.5,60144284,62263269,GCA_000003025.6
CM000829.5,5780808,8069214,GCA_000003025.6
CM000829.5,7134381,9141980,GCA_000003025.6
CM000827.5,71720854,73721753,GCA_000003025.6
CM000829.5,23286430,25287332,GCA_000003025.6
CM000829.5,4567307,6568482,GCA_000003025.6
CM020466.1,25078888,27089415,GCA_009819655.1
CM020467.1,4713936,6757170,GCA_009819655.1
CM020466.1,30097019,32097993,GCA_009819655.1
CM025958.1,88462510,90473164,GCA_014839755.1
CM025959.1,106698225,108758592,GCA_014839755.1
CM025958.1,83428223,85429188,GCA_014839755.1
CM027393.1,24688905,26939270,GCA_015711505.1
CM027399.1,1768176,4774364,GCA_015711505.1
JADBBT010002432.1,0,1012769,GCA_015711505.1
CM027392.1,38114702,40115613,GCA_015711505.1
CM027399.1,21890566,23891459,GCA_015711505.1
CM027409.1,78523335,80524249,GCA_015711505.1
JADBBT010009712.1,0,1004672,GCA_015711505.1
JADBBT010022228.1,0,1001836,GCA_015711505.1
JADBBT010022230.1,0,1001836,GCA_015711505.1
JADBBT010023058.1,0,1002352,GCA_015711505.1
OX463230.1,26665838,29000029,GCA_949820135.1
OX463236.1,2196099,4312570,GCA_949820135.1
OX463236.1,3416568,5659926,GCA_949820135.1
OX463229.1,48649280,50650191,GCA_949820135.1
OX463236.1,23470543,25471436,GCA_949820135.1
OX463246.1,93999934,96000848,GCA_949820135.1
CM054513.1,146515953,148738541,GCA_028878055.1
CM054514.1,130819653,133021398,GCA_028878055.1
CM054514.1,132273340,134577142,GCA_028878055.1
CM054511.1,96324111,98325022,GCA_028878055.1
CM054514.1,111943530,113944492,GCA_028878055.1
CM054524.1,92024287,94025186,GCA_028878055.1
OX393536.1,12910164,14913146,GCA_947650265.1
OX393525.1,33726553,35727530,GCA_947650265.1
OX393525.1,55397547,57398599,GCA_947650265.1
CM056551.1,29422469,31423464,GCA_029721515.1
CM056566.1,5882745,7883731,GCA_029721515.1
CM050968.1,8049244,10068745,GCA_027744825.1
CM050965.1,24120620,26121597,GCA_027744825.1
CM034207.1,17056536,19057528,GCA_019802595.1
LR594594.1,11383111,13384094,GCA_901709675.2
CM047010.1,12565508,14566488,GCA_024217435.4
JADRJE010000028.1,15455258,17460131,GCA_015852505.1
CM027596.1,175237397,177238362,GCA_015852505.1
CM040252.1,10343365,12354990,GCA_022655615.1
CM040252.1,27679056,29679991,GCA_022655615.1
CM040255.1,22304048,24304977,GCA_022655615.1
CM040260.1,15400296,17401270,GCA_022655615.1
CM057318.1,18583111,20584022,GCA_030014155.1
CM057318.1,18588512,20600606,GCA_030014155.1
CM057318.1,2497653,4498588,GCA_030014155.1
CM057321.1,15654837,17655811,GCA_030014155.1
CM057322.1,3850637,5851575,GCA_030014155.1
CM057089.1,12180341,14181327,GCA_029959045.1
CM012081.2,26015051,28025707,GCA_003957565.4
CM012084.2,5031228,7043593,GCA_003957565.4
CP034975.1,1925630,3937047,GCA_004026145.2
CP034991.1,12235604,14236524,GCA_004026145.2
CM011069.1,6272971,8285777,GCA_003711565.2
CM011073.1,9073220,11074185,GCA_003711565.2
CM011073.1,11133171,13134091,GCA_003711565.2
LR584231.2,20762172,22764362,GCA_901000725.3
LR584233.2,6721570,8722490,GCA_901000725.3
LR584233.2,8799768,10800733,GCA_901000725.3
CM043327.1,184294863,186622053,GCA_023851605.1
CM043333.1,72430114,74535434,GCA_023851605.1
CM043335.1,57046961,59047860,GCA_023851605.1
CM046661.1,74470880,77107576,GCA_025594165.1
CM046664.1,141300588,143557800,GCA_025594165.1
CM046664.1,142962777,144992348,GCA_025594165.1
CM046662.1,164137972,166138862,GCA_025594165.1
CM046664.1,120277742,122278785,GCA_025594165.1
CM053192.1,9002687,10938590,GCA_028533255.1
CM053202.1,9551344,11871735,GCA_028533255.1
CM053192.1,9002687,11003595,GCA_028533255.1
CM053192.1,8792085,10793005,GCA_028533255.1
CM053192.1,8795004,10795939,GCA_028533255.1
CM053192.1,8810672,10811613,GCA_028533255.1
CM053192.1,8825960,10826937,GCA_028533255.1
CM053192.1,8898482,10899420,GCA_028533255.1
CM053192.1,8921074,10922033,GCA_028533255.1
CM053192.1,8937655,10938590,GCA_028533255.1
CM053202.1,10973130,12974047,GCA_028533255.1
CM053202.1,24436098,26437003,GCA_028533255.1
CM053204.1,5838088,7838987,GCA_028533255.1
JAPYYE010007468.1,0,1003314,GCA_028533255.1
CM019966.1,130438260,132439207,GCA_009769465.1
CM019966.1,1250803,3251723,GCA_009769465.1
CM019967.1,65225931,67226884,GCA_009769465.1
OU342725.1,8817630,10821437,GCA_910589615.1
OU342718.1,16340838,18341815,GCA_910589615.1
CM036548.1,16015617,18018785,GCA_020745685.1
CM036534.1,10135541,12136518,GCA_020745685.1
CM036534.1,34832915,36833880,GCA_020745685.1
OW121835.1,22826496,24830821,GCA_933228915.1
OW121833.1,30055972,32056949,GCA_933228915.1
LR722979.1,40329231,42364886,GCA_902500255.1
LR722970.1,25389210,27390202,GCA_902500255.1
CM042867.1,9751482,11755236,GCA_023658055.1
CM042867.1,12480270,14481226,GCA_023658055.1
CM042879.1,3577256,5578308,GCA_023658055.1
CM020514.1,10934626,12937184,GCA_009823395.1
CM020507.1,72526,2073863,GCA_009823395.1
CM020507.1,3029647,5030738,GCA_009823395.1
CM036559.1,125865265,127866233,GCA_020745775.1
CM036561.1,6001841,8002794,GCA_020745775.1
CM009952.1,165292555,167451121,GCA_003255815.1
CM009952.1,166744520,169064413,GCA_003255815.1
CM009961.1,92783876,95006705,GCA_003255815.1
CM009961.1,103953718,106175208,GCA_003255815.1
CM009952.1,99403409,101404323,GCA_003255815.1
CM009952.1,146492646,148493515,GCA_003255815.1
CM009955.1,8358779,10359678,GCA_003255815.1
QGDE01000659.1,0,1007613,GCA_003255815.1
OU607593.1,9868173,11869153,GCA_914725855.1
OU607602.1,18551039,20552070,GCA_914725855.1
OU343199.1,26235818,28236798,GCA_910596095.1
CM040577.1,471251994,473389013,GCA_007646695.3
CM040578.1,194402152,196596051,GCA_007646695.3
CM040578.1,195771679,198089797,GCA_007646695.3
CM040574.1,408988678,410989613,GCA_007646695.3
CM040576.1,156444930,158445874,GCA_007646695.3
CM040578.1,291606627,293607538,GCA_007646695.3
CM042397.1,35113696,37135427,GCA_023634145.1
CM042408.1,15301023,17367405,GCA_023634145.1
CM042396.1,9602378,11603394,GCA_023634145.1
CM042398.1,5635019,7636032,GCA_023634145.1
CM042401.1,19770197,21771174,GCA_023634145.1
CM042401.1,23156572,25157537,GCA_023634145.1
CM042407.1,34658574,36659518,GCA_023634145.1
CM028900.1,14599632,16602575,GCA_016801885.1
CM028882.1,24816953,26817927,GCA_016801885.1
CM028882.1,5802585,7803562,GCA_016801885.1
CM030694.1,14718581,16721659,GCA_017976425.1
CM030686.1,698591,2699595,GCA_017976425.1
CM030686.1,20673784,22674761,GCA_017976425.1
CM023058.1,67960395,70566973,GCA_013100865.1
CM023058.1,165914457,167969484,GCA_013100865.1
CM023056.1,135769887,137770819,GCA_013100865.1
CM023058.1,187269363,189270319,GCA_013100865.1
CM052539.1,20154363,22209553,GCA_028533065.1
CM052549.1,75109060,77724447,GCA_028533065.1
CM052540.1,166289462,168290367,GCA_028533065.1
